SPID,date,% Paper,% Plastic
7444,2019-01-01,"1,0","0,0"
7444,2019-01-02,"0,4166666666666667","0,3333333333333333"
7444,2019-01-03,"0,5","0,375"
7444,2019-01-04,"0,5","0,12666666666666668"
7444,2019-01-05,"0,6666666666666666","0,2333333333333333"
7444,2019-01-06,"0,5833333333333334","0,13333333333333333"
7444,2019-01-07,"0,71","0,4"
7444,2019-01-08,"0,6","0,0"
7444,2019-01-09,"1,1","1,1"
7444,2019-01-10,"0,8","0,0"
7444,2019-01-11,"0,6","0,6"
7444,2019-01-12,"0,54","0,16666666666666666"
7444,2019-01-13,"0,5833333333333334","0,25"
7444,2019-01-14,"1,0","0,6"
7444,2019-01-15,"0,8","0,0"
7444,2019-01-16,"0,5","0,4"
7444,2019-01-17,"0,8","0,0"
7444,2019-01-18,"0,8","0,8"
7444,2019-01-19,"0,5833333333333334","0,19999999999999998"
7444,2019-01-20,"0,5","0,26666666666666666"
7444,2019-01-21,"0,8","0,6"
7444,2019-01-22,"0,8","0,8"
7444,2019-01-23,"0,8","0,8"
7444,2019-01-24,"0,6","0,0"
7444,2019-01-25,"0,5","0,375"
7444,2019-01-26,"0,5833333333333334","0,16666666666666666"
7444,2019-01-27,"0,6666666666666666","0,3333333333333333"
7444,2019-01-28,"0,25","0,16666666666666666"
7444,2019-01-29,"0,75","0,0"
7444,2019-01-30,"0,375","0,5"
7444,2019-01-31,"0,75","0,0"
7444,2019-02-01,"0,375","0,375"
7444,2019-02-02,"0,5","0,16666666666666666"
7444,2019-02-03,"0,4166666666666667","0,3333333333333333"
7444,2019-02-04,"0,5","0,375"
7444,2019-02-05,"0,75","0,0"
7444,2019-02-06,"0,5","0,5"
7444,2019-02-07,"1,0","0,0"
7444,2019-02-08,"0,5","0,5"
7444,2019-02-09,"0,5833333333333334","0,3333333333333333"
7444,2019-02-10,"0,6166666666666667","0,16666666666666666"
7444,2019-02-11,"0,94","0,0"
7444,2019-02-12,"1,0","0,0"
7444,2019-02-13,"0,5","0,31"
7444,2019-02-14,"1,0","0,0"
7444,2019-02-15,"0,8","0,8"
7444,2019-02-16,"0,5833333333333334","0,3333333333333333"
7444,2019-02-17,"0,5333333333333333","0,25"
7444,2019-02-18,"1,0","0,6"
7444,2019-02-19,"1,0","0,0"
7444,2019-02-20,"0,5","0,375"
7444,2019-02-21,"1,0","0,0"
7444,2019-02-22,"0,375","0,5"
7444,2019-02-23,"0,6666666666666666","0,25"
7444,2019-02-24,"0,6666666666666666","0,26666666666666666"
7444,2019-02-25,"0,25","0,3"
7444,2019-02-26,"0,75","0,0"
7444,2019-02-27,"0,44","0,375"
7444,2019-02-28,"0,75","0,0"
7444,2019-03-01,"0,5","0,375"
7444,2019-03-02,"0,6","0,25"
7444,2019-03-03,"0,37333333333333335","0,25"
7444,2019-03-04,"0,375","0,25"
7444,2019-03-05,"1,0","0,0"
7444,2019-03-06,"0,4","0,4"
7444,2019-03-07,"1,0","0,0"
7444,2019-03-08,"0,4","0,3"
7444,2019-03-09,"0,5333333333333333","0,3333333333333333"
7444,2019-03-10,"0,5","0,3333333333333333"
7444,2019-03-11,"0,5","0,4"
7444,2019-03-12,"0,8","0,0"
7444,2019-03-13,"0,4","0,4"
7444,2019-03-14,"0,8","0,0"
7444,2019-03-15,"0,55","0,5"
7444,2019-03-16,"0,4666666666666666","0,3333333333333333"
7444,2019-03-17,"0,4666666666666666","0,19999999999999998"
7444,2019-03-18,"0,4","0,5"
7444,2019-03-19,"0,8","0,0"
7444,2019-03-20,"0,5","0,4"
7444,2019-03-21,"0,8","0,0"
7444,2019-03-22,"0,5","0,3"
7444,2019-03-23,"0,4333333333333333","0,19999999999999998"
7444,2019-03-24,"0,5333333333333333","0,26666666666666666"
7444,2019-03-25,"0,4","0,3"
7444,2019-03-26,"1,0","0,0"
7444,2019-03-27,"0,35","0,2"
7444,2019-03-28,"0,7","0,0"
7444,2019-03-29,"0,3333333333333333","0,7333333333333334"
7444,2019-03-30,"0,7000000000000001","0,26666666666666666"
7444,2019-03-31,"0,5666666666666667","0,3333333333333333"
7444,2019-04-01,"0,5","0,4"
7444,2019-04-02,"0,8","0,0"
7444,2019-04-03,"0,55","0,5"
7444,2019-04-04,"0,9","0,0"
7444,2019-04-05,"1,0","1,0"
7444,2019-04-06,"0,7","0,5"
7444,2019-04-07,"0,5","0,3333333333333333"
7444,2019-04-08,"0,3","0,3"
7444,2019-04-09,"1,1","0,0"
7444,2019-04-10,"0,55","0,5"
7444,2019-04-11,"1,0","0,0"
7444,2019-04-12,"1,0","1,0"
7444,2019-04-13,"0,5333333333333333","0,3333333333333333"
7444,2019-04-14,"0,4666666666666666","0,3333333333333333"
7444,2019-04-15,"1,0","1,0"
7444,2019-04-16,"1,0","0,0"
7444,2019-04-17,"1,0","0,8"
7444,2019-04-18,"1,0","0,0"
7444,2019-04-19,"0,45","0,5"
7444,2019-04-20,"0,3","0,2333333333333333"
7444,2019-04-21,"0,5333333333333333","0,19999999999999998"
7444,2019-04-22,"1,0","0,6"
7444,2019-04-23,"1,1","0,0"
7444,2019-04-24,"0,25","0,3"
7444,2019-04-25,"0,8","0,0"
7444,2019-04-26,"0,35","0,35"
7444,2019-04-27,"0,5666666666666667","0,16666666666666666"
7444,2019-04-28,"0,5","0,3"
7444,2019-04-29,"0,5","0,4"
7444,2019-04-30,"1,0","0,0"
7444,2019-05-01,"0,5","0,5"
7444,2019-05-02,"1,0","0,0"
7444,2019-05-03,"0,45","0,335"
7444,2019-05-04,"0,5333333333333333","0,26666666666666666"
7444,2019-05-05,"0,5333333333333333","0,26666666666666666"
7444,2019-05-06,"0,5","0,4"
7444,2019-05-07,"1,0","0,0"
7444,2019-05-08,"0,45","0,3"
7444,2019-05-09,"0,6","0,0"
7444,2019-05-10,"0,5","0,5"
7444,2019-05-11,"0,3666666666666667","0,2333333333333333"
7444,2019-05-12,"0,6666666666666666","0,13333333333333333"
7444,2019-05-13,"0,3","0,4"
7444,2019-05-14,"0,5","0,0"
7444,2019-05-15,"0,4","0,3"
7444,2019-05-16,"0,6","0,0"
7444,2019-05-17,"1,0","1,0"
7444,2019-05-18,"0,6666666666666666","0,16666666666666666"
7444,2019-05-19,"0,9","0,0"
7444,2019-05-20,"0,3","0,25"
7444,2019-05-21,"1,0","0,0"
7444,2019-05-22,"1,1","1,0"
7444,2019-05-23,"0,8","0,0"
7444,2019-05-24,"1,0","0,8"
7444,2019-05-25,"0,5333333333333333","0,19999999999999998"
7444,2019-05-26,"0,4666666666666666","0,16666666666666666"
7444,2019-05-27,"0,25","0,15"
7444,2019-05-28,"1,0","0,0"
7444,2019-05-29,"1,0","1,0"
7444,2019-05-30,"1,0","0,0"
7444,2019-05-31,"0,35","0,3"
7444,2019-06-01,"0,4666666666666666","0,2333333333333333"
7444,2019-06-02,"0,4666666666666666","0,16666666666666666"
7444,2019-06-03,"0,8","0,8"
7444,2019-06-04,"0,8","0,0"
7444,2019-06-05,"0,5","0,3"
7444,2019-06-06,"1,1","0,0"
7444,2019-06-07,"0,5","0,3"
7444,2019-06-08,"0,6","0,2333333333333333"
7444,2019-06-09,"0,6666666666666666","0,13333333333333333"
7444,2019-06-10,"1,0","0,8"
7444,2019-06-11,"0,6","0,0"
7444,2019-06-12,"0,5","0,5"
7444,2019-06-13,"1,0","0,0"
7444,2019-06-14,"1,1","1,0"
7444,2019-06-15,"0,9","0,4"
7444,2019-06-16,"0,9","0,3"
7444,2019-06-17,"0,3","0,45"
7444,2019-06-18,"0,5","0,0"
7444,2019-06-19,"0,5","0,3"
7444,2019-06-20,"1,1","0,0"
7444,2019-06-21,"0,5","0,3"
7444,2019-06-22,"0,3","0,09999999999999999"
7444,2019-06-23,"0,43333333333333335","0,13333333333333333"
7444,2019-06-24,"0,3","0,15"
7444,2019-06-25,"1,0","0,0"
7444,2019-06-26,"0,5","0,25"
7444,2019-06-27,"0,6","0,0"
7444,2019-06-28,"0,3","0,3"
7444,2019-06-29,"0,5666666666666668","0,16666666666666666"
7444,2019-06-30,"0,5666666666666667","0,19999999999999998"
7444,2019-07-01,"0,4","0,15"
7444,2019-07-02,"0,9","0,0"
7444,2019-07-03,"0,3","0,25"
7444,2019-07-04,"0,7","0,0"
7444,2019-07-05,"0,25","0,125"
7444,2019-07-06,"0,5333333333333333","0,19999999999999998"
7444,2019-07-07,"0,5333333333333333","0,09999999999999999"
7444,2019-07-08,"0,5","0,4"
7444,2019-07-09,"0,8","0,0"
7444,2019-07-10,"1,1","0,8"
7444,2019-07-11,"1,0","0,0"
7444,2019-07-12,"0,5","0,3"
7444,2019-07-13,"0,4666666666666666","0,13333333333333333"
7444,2019-07-14,"0,2","0,0"
7444,2019-07-15,"0,3","0,3"
7444,2019-07-16,"1,0","0,0"
7444,2019-07-17,"0,4","0,3"
7444,2019-07-18,"1,0","0,0"
7444,2019-07-19,"0,5","0,3"
7444,2019-07-20,"0,3333333333333333","0,06666666666666667"
7444,2019-07-21,"0,3333333333333333","0,06666666666666667"
7444,2019-07-22,"0,35","0,15"
7444,2019-07-23,"0,6","0,0"
7444,2019-07-24,"0,45","0,25"
7444,2019-07-25,"0,4","0,0"
7444,2019-07-26,"0,0","0,4"
7444,2019-07-27,"0,3333333333333333","0,09999999999999999"
7444,2019-07-28,"0,6000000000000001","0,1"
7444,2019-07-29,"0,35","0,2"
7444,2019-07-30,"1,0","0,0"
7444,2019-07-31,"0,3","0,4"
7444,2019-08-01,"0,3","0,0"
7444,2019-08-02,"0,5","0,4"
7444,2019-08-03,"0,6","0,06666666666666667"
7444,2019-08-04,"0,5333333333333333","0,09999999999999999"
7444,2019-08-05,"0,4","0,3"
7444,2019-08-06,"0,7","0,0"
7444,2019-08-07,"1,0","0,6"
7444,2019-08-08,"1,05","0,0"
7444,2019-08-09,"0,35","0,5"
7444,2019-08-10,"0,39999999999999997","0,06666666666666667"
7444,2019-08-11,"0,9","0,0"
7444,2019-08-13,"1,0","1,0"
7444,2019-08-14,"0,8","0,6"
7444,2019-08-15,"1,0","0,0"
7444,2019-08-16,"1,0","1,0"
7444,2019-08-17,"0,5666666666666667","0,13333333333333333"
7444,2019-08-18,"0,6","0,19999999999999998"
7444,2019-08-19,"1,0","0,8"
7444,2019-08-20,"1,0","0,0"
7444,2019-08-21,"0,5","0,35"
7444,2019-08-23,"0,5","0,4"
7444,2019-08-24,"0,26666666666666666","0,3333333333333333"
7444,2019-08-25,"0,8","0,3"
7444,2019-08-26,"0,8","0,8"
7444,2019-08-27,"1,0","0,0"
7444,2019-08-28,"0,5","0,3"
7444,2019-08-29,"0,8","0,0"
7444,2019-08-30,"1,0","1,0"
7444,2019-08-31,"0,75","0,5"
7444,2019-09-01,"0,6","0,26666666666666666"
7444,2019-09-02,"1,0","0,6"
7444,2019-09-04,"0,35","0,4"
7444,2019-09-05,"1,0","0,0"
7444,2019-09-06,"1,0","1,0"
7444,2019-09-07,"0,85","0,4"
7444,2019-09-08,"0,6","0,3333333333333333"
7444,2019-09-09,"0,3","0,3"
7444,2019-09-10,"1,0","0,0"
7444,2019-09-11,"0,3","0,25"
