SPID,hour,visit_count
7444,7,14
7444,8,22
7444,9,49
7444,10,168
7444,11,187
7444,12,162
7444,13,127
7444,14,121
7444,15,166
7444,16,185
7444,17,142
7444,18,106
7444,19,51
7444,20,33
7444,21,3
7444,22,1
7444,23,1
9935,6,4
9935,7,50
9935,8,61
9935,9,85
9935,10,58
9935,11,50
9935,12,43
9935,13,44
9935,14,50
9935,15,28
9935,16,23
9935,17,19
9935,18,9
9935,19,7
9935,20,1
9935,21,3
9939,6,73
9939,7,114
9939,8,28
9939,9,16
9939,10,9
9939,11,10
9939,12,12
9939,13,4
9939,14,15
9939,15,8
9939,16,5
9939,17,9
9939,18,7
9939,20,1
9939,21,2
9942,5,3
9942,6,59
9942,7,52
9942,8,73
9942,9,72
9942,10,92
9942,11,62
9942,12,60
9942,13,46
9942,14,61
9942,15,53
9942,16,49
9942,17,32
9942,18,15
9942,19,6
9942,20,6
9942,21,1
9959,6,18
9959,7,78
9959,8,120
9959,9,191
9959,10,167
9959,11,83
9959,12,80
9959,13,76
9959,14,69
9959,15,69
9959,16,86
9959,17,77
9959,18,35
9959,19,12
9959,20,9
9959,21,2
9960,6,100
9960,7,118
9960,8,35
9960,9,20
9960,10,6
9960,11,7
9960,12,5
9960,13,2
9960,14,9
9960,15,6
9960,16,1
9960,18,5
9960,19,1
10374,6,41
10374,7,154
10374,8,141
10374,9,35
10374,10,22
10374,11,12
10374,12,10
10374,13,8
10374,14,7
10374,15,8
10374,16,6
10374,17,3
10374,18,4
10374,19,2
10374,20,3
10374,21,2
10375,6,40
10375,7,224
10375,8,201
10375,9,67
10375,10,23
10375,11,17
10375,12,12
10375,13,24
10375,14,29
10375,15,21
10375,16,21
10375,17,13
10375,18,6
10375,19,10
10375,20,3
10375,21,2
10377,5,4
10377,6,46
10377,7,244
10377,8,305
10377,9,142
10377,10,70
10377,11,44
10377,12,46
10377,13,70
10377,14,81
10377,15,71
10377,16,73
10377,17,62
10377,18,44
10377,19,21
10377,20,11
10377,21,2
10912,7,23
10912,8,201
10912,9,192
10912,10,184
10912,11,109
10912,12,75
