,SPID,VisitDate,# Paper,% Paper,# Plastic,% Plastic
0,15801,2019-01-01 08:09:50,3,1.0,2,0.75
1,16160,2019-01-01 08:22:15,2,0.75,1,0.75
2,9960,2019-01-01 08:29:48,2,1.0,0,0.0
3,16135,2019-01-01 08:38:08,0,0.0,1,0.25
4,16017,2019-01-01 08:42:03,3,0.75,2,0.62
5,9942,2019-01-01 09:04:28,1,1.0,0,0.0
6,16351,2019-01-01 09:09:17,1,1.0,0,0.0
7,15977,2019-01-01 09:24:16,6,1.0,0,0.0
8,16106,2019-01-01 09:24:44,3,0.83,2,0.75
9,16158,2019-01-01 09:36:15,3,0.75,0,0.0
10,16473,2019-01-01 09:43:58,3,1.03,0,0.0
11,9959,2019-01-01 09:44:50,3,1.0,0,0.0
12,16170,2019-01-01 09:52:39,4,1.0,0,0.0
13,10914,2019-01-01 09:59:04,5,1.04,0,0.0
14,16084,2019-01-01 10:04:49,3,0.58,1,0.5
15,16134,2019-01-01 10:19:55,1,1.0,1,0.75
16,16273,2019-01-01 10:21:22,4,1.0,0,0.0
17,16131,2019-01-01 10:26:53,3,0.75,1,0.5
18,16162,2019-01-01 10:33:13,2,1.0,0,0.0
19,16070,2019-01-01 10:35:02,2,1.1,0,0.0
20,10912,2019-01-01 10:44:36,1,1.0,0,0.0
21,16169,2019-01-01 10:46:47,2,1.0,0,0.0
22,16166,2019-01-01 10:54:26,2,1.1,1,1.0
23,15880,2019-01-01 11:04:47,3,1.0,1,1.0
24,15818,2019-01-01 11:18:13,3,1.03,0,0.0
25,16133,2019-01-01 11:20:42,4,0.5,2,0.5
26,16462,2019-01-01 11:29:16,0,0.0,1,0.75
27,10377,2019-01-01 11:34:33,2,1.0,1,0.75
28,15796,2019-01-01 11:38:08,5,1.02,0,0.0
29,15373,2019-01-01 11:47:02,3,1.0,0,0.0
30,15930,2019-01-01 11:58:27,3,1.0,0,0.0
31,15900,2019-01-01 12:05:24,5,0.75,0,0.0
32,15750,2019-01-01 12:11:33,0,0.0,2,0.75
33,16190,2019-01-01 12:14:11,3,1.0,0,0.0
34,15479,2019-01-01 12:21:04,3,1.0,0,0.0
35,15849,2019-01-01 12:23:55,5,1.0,0,0.0
36,10374,2019-01-01 12:32:48,0,0.0,2,0.25
37,16371,2019-01-01 12:34:10,2,1.0,1,0.75
38,15816,2019-01-01 12:36:26,3,0.92,0,0.0
39,16980,2019-01-01 12:41:52,2,1.0,0,0.0
40,15788,2019-01-01 12:46:58,3,0.92,0,0.0
41,16731,2019-01-01 12:59:02,2,1.0,0,0.0
42,16192,2019-01-01 13:13:07,3,0.92,0,0.0
43,7444,2019-01-01 13:21:33,2,1.0,0,0.0
44,16299,2019-01-01 13:32:45,5,0.9,0,0.0
45,16059,2019-01-01 13:43:23,4,1.0,0,0.0
46,12462,2019-01-01 14:40:28,2,1.0,0,0.0
47,16473,2019-01-01 14:51:19,3,0.75,0,0.0
48,10914,2019-01-01 15:02:29,5,0.75,0,0.0
49,16273,2019-01-01 15:10:43,4,0.75,0,0.0
50,16070,2019-01-01 15:21:42,2,0.88,0,0.0
51,10912,2019-01-01 15:32:29,1,1.0,0,0.0
52,15818,2019-01-01 15:45:51,3,0.83,0,0.0
53,15796,2019-01-01 16:01:16,5,0.95,0,0.0
54,15816,2019-01-01 16:15:38,3,0.5,0,0.0
55,15788,2019-01-01 16:22:22,3,0.75,0,0.0
56,15977,2019-01-01 16:30:08,0,0.0,2,1.0
57,16190,2019-01-01 16:37:31,3,0.83,0,0.0
58,15818,2019-01-01 16:40:22,0,0.0,2,0.75
59,15849,2019-01-01 16:51:11,5,0.85,0,0.0
60,16473,2019-01-01 16:53:36,0,0.0,2,0.75
61,16273,2019-01-01 17:04:43,0,0.0,2,0.75
62,16731,2019-01-01 17:08:05,2,0.75,0,0.0
63,16070,2019-01-01 17:13:05,0,0.0,2,0.75
64,15900,2019-01-01 17:24:12,0,0.0,2,1.0
65,16192,2019-01-01 17:24:41,4,0.75,0,0.0
66,15796,2019-01-01 17:37:16,0,0.0,2,1.0
67,7444,2019-01-01 17:49:24,2,1.0,0,0.0
68,16190,2019-01-01 17:49:45,0,0.0,2,1.0
69,16192,2019-01-01 18:01:53,0,0.0,1,1.0
70,16299,2019-01-01 18:05:13,5,0.75,0,0.0
71,16299,2019-01-01 18:06:04,0,0.0,5,0.75
72,16059,2019-01-01 18:20:20,0,0.0,3,0.75
73,16059,2019-01-01 18:21:05,4,1.0,0,0.0
74,9960,2019-01-02 06:18:01,0,0.0,1,0.75
75,14419,2019-01-02 06:48:58,3,0.5,0,0.0
76,14419,2019-01-02 06:57:51,0,0.0,2,0.75
77,15977,2019-01-02 07:08:00,6,0.75,0,0.0
78,15977,2019-01-02 07:10:21,0,0.0,2,0.62
79,16161,2019-01-02 07:16:48,3,0.5,2,0.5
80,16473,2019-01-02 07:26:28,3,0.75,0,0.0
81,16254,2019-01-02 07:29:12,2,1.0,0,0.0
82,16473,2019-01-02 07:33:40,0,0.0,2,0.62
83,10914,2019-01-02 07:34:35,5,0.5,0,0.0
84,15372,2019-01-02 07:43:13,2,1.0,1,1.0
85,10914,2019-01-02 07:47:16,0,0.0,5,0.75
86,16273,2019-01-02 07:54:40,4,0.75,0,0.0
87,16462,2019-01-02 07:55:55,2,1.0,0,0.0
88,16273,2019-01-02 07:57:26,0,0.0,2,0.5
89,10377,2019-01-02 08:03:51,2,0.62,1,0.5
90,16070,2019-01-02 08:04:54,2,0.75,0,0.0
91,16070,2019-01-02 08:09:29,0,0.0,2,0.75
92,15373,2019-01-02 08:09:48,3,0.67,2,0.75
93,10912,2019-01-02 08:11:54,1,0.5,0,0.0
94,10912,2019-01-02 08:17:08,0,0.0,1,1.0
95,10375,2019-01-02 08:20:38,3,0.75,0,0.0
96,12462,2019-01-02 08:22:19,2,0.75,0,0.0
97,12462,2019-01-02 08:28:26,0,0.0,1,1.0
98,15479,2019-01-02 08:31:06,3,1.0,2,1.0
99,15818,2019-01-02 08:39:00,3,0.5,0,0.0
100,15818,2019-01-02 08:43:14,0,0.0,2,0.5
101,10374,2019-01-02 08:43:26,3,0.33,0,0.0
102,16980,2019-01-02 08:46:45,2,0.75,2,0.38
103,15796,2019-01-02 08:51:47,0,0.0,2,0.62
104,15796,2019-01-02 08:52:22,5,0.75,0,0.0
105,15801,2019-01-02 08:53:57,3,0.58,0,0.0
106,16171,2019-01-02 09:02:30,2,0.5,0,0.0
107,9939,2019-01-02 09:03:32,2,0.5,1,0.75
108,15930,2019-01-02 09:06:13,0,0.0,2,1.0
109,15930,2019-01-02 09:06:30,3,0.5,0,0.0
110,12854,2019-01-02 09:09:25,2,0.75,1,0.5
111,15900,2019-01-02 09:14:57,0,0.0,2,0.5
112,16135,2019-01-02 09:17:59,2,0.5,0,0.0
113,15900,2019-01-02 09:21:20,5,0.5,0,0.0
114,15816,2019-01-02 09:24:58,0,0.0,2,1.0
115,16168,2019-01-02 09:30:14,2,0.75,0,0.0
116,15816,2019-01-02 09:31:51,3,0.5,0,0.0
117,15788,2019-01-02 09:33:46,0,0.0,2,1.0
118,16165,2019-01-02 09:37:38,2,1.0,1,1.0
119,16190,2019-01-02 09:40:31,0,0.0,2,0.75
120,15788,2019-01-02 09:40:50,3,0.5,0,0.0
121,9942,2019-01-02 09:42:36,1,1.0,1,1.0
122,16190,2019-01-02 09:46:42,3,0.5,0,0.0
123,16351,2019-01-02 09:49:08,1,0.75,1,0.75
124,15849,2019-01-02 09:59:26,5,0.5,0,0.0
125,16163,2019-01-02 10:02:08,2,0.75,1,0.75
126,16731,2019-01-02 10:16:32,2,0.5,0,0.0
127,16158,2019-01-02 10:17:56,3,1.0,2,0.75
128,16192,2019-01-02 10:26:58,4,0.5,0,0.0
129,9959,2019-01-02 10:27:03,3,1.0,0,0.0
130,16059,2019-01-02 10:27:46,0,0.0,3,0.75
131,16170,2019-01-02 10:34:49,3,0.75,2,0.75
132,16299,2019-01-02 10:34:53,0,0.0,5,0.75
133,7444,2019-01-02 10:38:09,2,0.5,0,0.0
134,7444,2019-01-02 10:45:42,0,0.0,2,1.0
135,16299,2019-01-02 10:46:11,5,0.5,0,0.0
136,16352,2019-01-02 10:51:52,2,1.0,1,0.75
137,16059,2019-01-02 10:55:28,4,0.5,0,0.0
138,16192,2019-01-02 10:56:56,0,0.0,1,0.75
139,16084,2019-01-02 10:59:25,3,0.75,1,0.75
140,16731,2019-01-02 11:09:07,0,0.0,1,1.0
141,9935,2019-01-02 11:10:04,3,0.75,1,0.75
142,16136,2019-01-02 11:19:58,1,1.0,0,0.0
143,16159,2019-01-02 11:24:55,2,0.75,1,0.75
144,15849,2019-01-02 11:28:37,0,0.0,2,1.0
145,16131,2019-01-02 11:33:03,3,0.75,1,0.75
146,16164,2019-01-02 11:40:15,3,1.0,1,1.1
147,16905,2019-01-02 11:56:33,2,0.88,1,0.75
148,16162,2019-01-02 12:24:23,2,1.0,2,1.0
149,14419,2019-01-02 13:10:27,3,0.5,0,0.0
150,15818,2019-01-02 13:26:09,3,0.5,0,0.0
151,16473,2019-01-02 13:38:36,3,0.5,0,0.0
152,10914,2019-01-02 13:53:16,5,0.5,0,0.0
153,16273,2019-01-02 14:06:27,4,0.5,0,0.0
154,16070,2019-01-02 14:20:51,2,0.75,0,0.0
155,10912,2019-01-02 14:25:29,1,0.5,0,0.0
156,12462,2019-01-02 14:32:31,2,0.5,0,0.0
157,15796,2019-01-02 14:47:11,5,0.75,0,0.0
158,15788,2019-01-02 14:59:48,3,0.5,0,0.0
159,15816,2019-01-02 15:08:00,3,0.5,0,0.0
160,16190,2019-01-02 15:22:37,3,1.0,0,0.0
161,15849,2019-01-02 15:32:47,5,0.5,0,0.0
162,16731,2019-01-02 15:46:14,2,0.5,0,0.0
163,16192,2019-01-02 16:07:10,4,1.0,0,0.0
164,7444,2019-01-02 16:22:05,2,0.75,0,0.0
165,16299,2019-01-02 16:38:25,5,0.75,0,0.0
166,16059,2019-01-02 16:57:07,4,0.75,0,0.0
167,9960,2019-01-03 06:26:24,2,0.5,0,0.0
168,16160,2019-01-03 06:29:27,2,0.38,0,0.0
169,15801,2019-01-03 06:44:31,3,0.58,2,0.5
170,16980,2019-01-03 07:08:15,2,0.88,0,0.0
171,16371,2019-01-03 07:12:30,2,0.62,1,0.25
172,15479,2019-01-03 07:22:46,3,0.67,0,0.0
173,15750,2019-01-03 07:34:29,3,1.0,2,0.5
174,15377,2019-01-03 07:47:49,2,0.5,1,0.5
175,14419,2019-01-03 07:50:12,3,1.0,0,0.0
176,15373,2019-01-03 07:57:25,3,1.0,0,0.0
178,15977,2019-01-03 08:04:42,6,1.0,0,0.0
179,10377,2019-01-03 08:09:17,2,1.0,1,1.0
181,16133,2019-01-03 08:18:52,4,0.75,2,0.62
182,16473,2019-01-03 08:19:29,3,1.0,0,0.0
184,10914,2019-01-03 08:30:49,5,1.0,0,0.0
185,15880,2019-01-03 08:35:34,3,1.0,1,1.0
187,16273,2019-01-03 08:43:25,4,1.0,0,0.0
188,16166,2019-01-03 08:44:46,0,0.0,1,0.5
190,16906,2019-01-03 08:50:20,2,0.25,1,0.25
191,16070,2019-01-03 08:51:33,2,1.0,0,0.0
192,16161,2019-01-03 08:55:26,3,0.67,0,0.0
193,10912,2019-01-03 08:57:14,1,1.0,0,0.0
195,16169,2019-01-03 09:04:11,2,0.5,2,0.38
196,12462,2019-01-03 09:10:25,2,1.0,0,0.0
197,16162,2019-01-03 09:12:19,2,0.75,0,0.0
199,16131,2019-01-03 09:20:22,3,0.5,1,0.5
200,15818,2019-01-03 09:23:04,3,0.75,0,0.0
201,16159,2019-01-03 09:23:08,2,0.25,0,0.0
202,16134,2019-01-03 09:26:25,1,0.5,1,0.25
204,16084,2019-01-03 09:38:08,3,0.5,1,0.5
205,15796,2019-01-03 09:42:01,5,1.0,0,0.0
207,16170,2019-01-03 09:49:33,4,1.0,0,0.0
208,9959,2019-01-03 09:53:28,3,1.0,1,1.0
210,16106,2019-01-03 10:04:11,3,0.75,2,0.75
212,15930,2019-01-03 10:07:17,3,1.0,0,0.0
213,16158,2019-01-03 10:13:39,3,0.75,0,0.0
216,15900,2019-01-03 10:31:40,5,1.0,0,0.0
217,16351,2019-01-03 10:34:19,1,1.0,0,0.0
219,9942,2019-01-03 10:40:39,1,1.1,0,0.0
220,15816,2019-01-03 10:45:50,3,1.0,0,0.0
